U0,U,I,P,R,err_U,err_I,err_P,err_R
540,2.609612903225806,0.01095401509951956,0.028579936679434096,250.0540007083173,0.004737802339491495,0.00045270960778140835,0.0011761603030922597,6.294768631222437
541,2.3336129032258066,0.01026767330130405,0.02400398521044125,243.68025739619003,0.006823445521078067,0.0006210323311883901,0.0015121398696836365,7.665441154132129
542,2.0727096774193545,0.01155799588194921,0.023933048464586975,194.55502197031868,0.005337837968249414,0.0005910189482198744,0.0012124540076279252,7.448303416284305
543,1.8288387096774192,0.010693205216197666,0.019565789182367656,175.4312444267549,0.007148895916182017,0.00024888956842411287,0.0004720004560547968,4.069502383193977
544,1.5905806451612903,0.01096774193548387,0.017444063143445432,153.67413240433456,0.006393975588403289,0.0006137230110549732,0.0009869568150947877,3.8935408264439504
545,1.3722580645161289,0.012409059711736444,0.016981778732260276,124.00057671410308,0.004202401148452725,0.0008694537555011426,0.0011571301592227285,4.375422612750704
546,1.1800645161290322,0.011667810569663692,0.013729979852547213,113.22396530218938,0.004728110599078336,0.0006072698330111588,0.0006915732667414005,7.130381975910136
547,0.9965806451612903,0.011448181194234727,0.011405937963557463,90.30623746166492,0.005249744019510057,0.00040778883717896094,0.0004033010428165087,2.1143135047178148
548,0.8430967741935483,0.011118737131091282,0.009394867934553987,83.25251635271334,0.0072347353842254535,0.0005784049888715608,0.0005122427722235649,4.893644615905125
549,0.7023870967741935,0.01041866849691146,0.007315517966657072,68.80932513466925,0.0037920527475806677,0.00017831952550342962,0.00012825844795176186,1.744963935808377
550,0.5858709677419355,0.011516815374056279,0.00676980981690172,52.58265338005648,0.004312034534553071,0.0003996208513479763,0.0002648365344845427,1.1467548350864294
551,0.4871612903225806,0.011008922443376801,0.005367679943321451,45.103728890382065,0.0061181011978551116,0.0002510969044417549,0.00014280573965436938,0.9625506444640834
552,0.3996774193548387,0.011310912834591626,0.004520025682467287,38.488780742004224,0.004807006078538353,0.00047073241453623186,0.0001924128466341317,2.324613645301248
553,0.3330967741935484,0.012312971859986272,0.004089755795160183,30.126859613189787,0.0048532237881479725,0.0007815444982031992,0.00025842085713489175,1.3274024659627477
554,0.28993548387096774,0.011036376115305422,0.0031941461686629613,26.827476199865778,0.006466500269079143,0.0002408411352931705,9.135823324726889e-05,0.8034220370869852
555,0.24251612903225805,0.011283459162663005,0.0026938694179378746,23.838725237946637,0.005175827125609884,0.0006333559673184915,0.00011734690773869999,1.510788090321876
556,0.21387096774193548,0.011654083733699382,0.0025044390816303936,19.45839824929972,0.007487167556157237,0.0006205770526731655,0.00016695458554696825,0.8653293611358425
557,0.1829032258064516,0.010830473575840768,0.0019674983948457943,17.656863036627975,0.003660332431762321,0.00023636886280198213,5.0807969803172355e-05,0.881714994667864
